rank,R1_kohm,R2_act_kohm,C1_uF,C2_pF,C2_type,C2_a_pF,C2_b_pF,Rbp_kohm,Ru_kohm,Rf_kohm,Cf_act_nF,Cf_type,Cf_a_nF,Cf_b_nF,fc_act_Hz,Rref_kohm,Rbp_fixed_kohm,Rbp_pot_kohm,Rbp_pot_wiper_frac,err_rms_dB,err_rms_cal_dB,f0_Hz,f0_err_pct,zeta,K_opt_lin,gain_BP_solo,gain_Adder_vs_BP,gain_Adder_vs_U,gain_Rf_par_RbpRu,gain_total_BPxAdder,gain_total_GeoxBPxAdder,PGA_min,PGA_max,gain_total_PGAxGeoxBPxAdder_min,gain_total_PGAxGeoxBPxAdder_max
1,39.0,43.0,680.0,232.0,P,82.0,150.0,7.5,6.8,5.6,66.0,P,33.0,33.0,430.614,20.0,6.8,1.0,0.6992,0.536812,0.227503,9.790880922868848,2.0912,815.7279,0.978414,1.1025,0.7467,0.8235,1.5702,0.005,0.000503,2.0,100.0,0.001007,0.050346
2,39.0,43.0,680.0,230.0,P,30.0,200.0,7.5,6.8,5.6,66.0,P,33.0,33.0,430.614,20.0,6.8,1.0,0.6992,0.52507,0.186764,9.83335782913246,1.6664,819.2669,0.981159,1.1025,0.7467,0.8235,1.5702,0.0049,0.000499,2.0,100.0,0.000998,0.049909
3,39.0,43.0,680.0,227.0,P,27.0,200.0,7.5,6.8,5.6,66.0,P,33.0,33.0,430.614,20.0,6.8,1.0,0.6992,0.513048,0.127103,9.898122686113815,1.0188,824.6628,0.985326,1.1025,0.7467,0.8235,1.5702,0.0049,0.000493,2.0,100.0,0.000985,0.049255
4,39.0,43.0,680.0,222.0,P,22.0,200.0,7.5,6.8,5.6,66.0,P,33.0,33.0,430.614,20.0,6.8,1.0,0.6992,0.509548,0.057105,10.008967381336245,0.0897,833.8978,0.992412,1.1025,0.7467,0.8235,1.5702,0.0048,0.000482,2.0,100.0,0.000963,0.048164
5,39.0,43.0,680.0,218.0,P,68.0,150.0,7.5,6.8,5.6,66.0,P,33.0,33.0,430.614,20.0,6.8,1.0,0.6992,0.522484,0.101307,10.100375373400766,1.0038,841.5134,0.998211,1.1025,0.7467,0.8235,1.5702,0.0047,0.000473,2.0,100.0,0.000946,0.047292
6,43.0,47.0,680.0,190.2439,E,200.0,3900.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.418788,0.160626,9.849598953157676,1.504,904.7861,0.986833,1.0929,0.8293,0.9067,1.7359,0.0049,0.000497,2.0,100.0,0.000994,0.049687
7,43.0,47.0,680.0,189.0,P,39.0,150.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.41082,0.129006,9.88195833730848,1.1804,907.7586,0.988938,1.0929,0.8293,0.9067,1.7359,0.0049,0.000494,2.0,100.0,0.000987,0.04936
8,43.0,47.0,680.0,188.5714,E,200.0,3300.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.408585,0.118125,9.893181462262573,1.0682,908.7896,0.989666,1.0929,0.8293,0.9067,1.7359,0.0049,0.000492,2.0,100.0,0.000985,0.049247
9,43.0,47.0,680.0,188.0,P,68.0,120.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.406027,0.103652,9.908205284831661,0.9179,910.1697,0.990641,1.0929,0.8293,0.9067,1.7359,0.0049,0.000491,2.0,100.0,0.000982,0.049097
10,43.0,47.0,680.0,183.0,P,33.0,150.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.405721,0.039157,10.042651123231028,0.4265,922.5199,0.999315,1.0929,0.8293,0.9067,1.7359,0.0047,0.000478,2.0,100.0,0.000956,0.047784
11,43.0,47.0,680.0,182.0,P,82.0,100.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.410549,0.062377,10.070203029937296,0.702,925.0508,1.001081,1.0929,0.8293,0.9067,1.7359,0.0047,0.000475,2.0,100.0,0.00095,0.047521
12,43.0,47.0,680.0,181.8182,E,200.0,2000.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.411599,0.066892,10.075236873305881,0.7524,925.5132,1.001404,1.0929,0.8293,0.9067,1.7359,0.0047,0.000475,2.0,100.0,0.000949,0.047474
13,43.0,47.0,680.0,180.0,P,30.0,150.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.424935,0.113902,10.1259940553664,1.2599,930.1758,1.004648,1.0929,0.8293,0.9067,1.7359,0.0047,0.00047,2.0,100.0,0.00094,0.046996
14,43.0,47.0,680.0,177.0,P,27.0,150.0,8.2,7.5,6.8,53.9,P,6.9,47.0,434.2326,22.0,7.5,1.0,0.6994,0.457422,0.194533,10.21144699698262,2.1145,938.0255,1.010083,1.0929,0.8293,0.9067,1.7359,0.0046,0.000462,2.0,100.0,0.000924,0.046208
15,33.0,18.0,1000.0,459.2086,E,470.0,20000.0,1.2,2.2,2.2,147.0,P,47.0,100.0,492.1303,12.0,1.2,0.01,0.0208,1.441305,0.410398,9.639034855126688,3.6097,999.3036,1.056426,0.5454,1.8333,1.0,2.8333,0.005,0.000508,2.0,100.0,0.001016,0.050817
