rank,C1_F,C2_F,R1_ohm,R2_ideal_ohm,R2_act_ohm,Rref_ohm,f0_Hz,f0_err_pct,zeta,err_rms_dB,R2_type,R2_err_pct,T1_Ra,T1_Rb,T1_Rc,T1_R2eq,T1_err_pct,T2_Ra,T2_Rb,T2_Rc,T2_R2eq,T2_err_pct,T3_Ra,T3_Rb,T3_Rc,T3_R2eq,T3_err_pct,T4_Ra,T4_Rb,T4_Rc,T4_R2eq,T4_err_pct,T5_Ra,T5_Rb,T5_Rc,T5_R2eq,T5_err_pct
1,1e-05,5e-11,620000.0,817106.3196962724,817121.9512195121,360000.0,10.115961471222388,1.1596,197.0387,4.342321,T,0.0019,62000.0,430000.0,82000.0,817121.95,0.0019,9100.0,620000.0,30000.0,817166.67,0.0074,56000.0,680000.0,470000.0,817021.28,0.0104,75000.0,680000.0,820000.0,817195.12,0.0109,1200.0,510000.0,2000.0,817200.0,0.0115
2,2.2e-05,5e-11,430000.0,535524.2264394175,535532.2580645161,240000.0,10.076138619139877,0.7614,299.4583,3.090035,T,0.0015,1500.0,430000.0,6200.0,535532.26,0.0015,2200.0,240000.0,1800.0,535533.33,0.0017,4300.0,470000.0,33000.0,535542.42,0.0034,3000.0,510000.0,68000.0,535500.0,0.0045,2400.0,330000.0,3900.0,535476.92,0.0088
3,2.2e-05,3.3e-11,560000.0,623039.5491584131,623026.3736263736,300000.0,10.088717845233132,0.8872,390.4786,2.35522,T,0.0021,1800.0,620000.0,910000.0,623026.37,0.0021,1000.0,620000.0,300000.0,623066.67,0.0044,22000.0,560000.0,300000.0,623066.67,0.0044,1500.0,620000.0,620000.0,623000.0,0.0063,12000.0,47000.0,1000.0,623000.0,0.0063
4,3.3e-05,3.3e-11,470000.0,494896.66316129256,494872.7272727273,240000.0,10.070691497749015,0.7069,490.7061,1.766873,T,0.0048,5600.0,390000.0,22000.0,494872.73,0.0048,9100.0,470000.0,270000.0,494940.74,0.0089,36000.0,300000.0,68000.0,494823.53,0.0148,1500.0,470000.0,30000.0,495000.0,0.0209,7500.0,300000.0,12000.0,495000.0,0.0209
5,4.4e-05,3e-11,430000.0,446270.18869951455,446250.0,220000.0,10.063775720887326,0.6378,598.1805,1.23767,T,0.0045,7500.0,270000.0,12000.0,446250.0,0.0045,27000.0,390000.0,360000.0,446250.0,0.0045,75000.0,270000.0,200000.0,446250.0,0.0045,10000.0,430000.0,680000.0,446323.53,0.012,2200.0,180000.0,1500.0,446200.0,0.0157
6,0.0001,5e-11,220000.0,230275.41736894948,230272.72727272726,120000.0,10.032900776232225,0.329,693.4247,0.840681,T,0.0012,3000.0,200000.0,22000.0,230272.73,0.0012,6800.0,220000.0,430000.0,230279.07,0.0016,3600.0,200000.0,27000.0,230266.67,0.0038,20000.0,200000.0,390000.0,230256.41,0.0083,51000.0,82000.0,43000.0,230255.81,0.0085
7,4.4e-05,1.8e-11,560000.0,571119.5867285454,571100.0,270000.0,10.081428465120396,0.8143,780.392,0.579483,T,0.0034,2700.0,560000.0,180000.0,571100.0,0.0034,24000.0,510000.0,330000.0,571090.91,0.005,91000.0,330000.0,200000.0,571150.0,0.0053,1200.0,560000.0,68000.0,571082.35,0.0065,43000.0,56000.0,5100.0,571156.86,0.0065
8,0.00022,8.2e-11,120000.0,117009.86654926294,117000.0,62000.0,10.017122683311532,0.1712,830.8009,0.579227,T,0.0084,12000.0,15000.0,2000.0,117000.0,0.0084,12000.0,75000.0,30000.0,117000.0,0.0084,12000.0,100000.0,240000.0,117000.0,0.0084,15000.0,51000.0,15000.0,117000.0,0.0084,15000.0,68000.0,30000.0,117000.0,0.0084
9,0.001,3.3e-10,27000.0,28429.063872709816,28425.853658536584,15000.0,10.004624889873522,0.0462,848.6226,0.460767,T,0.0113,4300.0,24000.0,820000.0,28425.85,0.0113,1000.0,27000.0,62000.0,28435.48,0.0226,5600.0,22000.0,150000.0,28421.33,0.0272,6200.0,9100.0,4300.0,28420.93,0.0286,4300.0,24000.0,750000.0,28437.6,0.03
10,0.0001,3.3e-11,270000.0,284290.6387270981,284281.31868131866,150000.0,10.040694070956755,0.4069,851.6821,0.461291,T,0.0033,3600.0,270000.0,91000.0,284281.32,0.0033,5100.0,270000.0,150000.0,284280.0,0.0037,1800.0,270000.0,39000.0,284261.54,0.0102,9100.0,240000.0,62000.0,284325.81,0.0124,9100.0,270000.0,470000.0,284327.66,0.013
11,4.4e-05,1.5e-11,620000.0,619019.9391638428,619024.3902439025,300000.0,10.08800819537756,0.8801,864.5693,0.377214,T,0.0007,180000.0,360000.0,820000.0,619024.39,0.0007,3000.0,560000.0,30000.0,619000.0,0.0032,47000.0,56000.0,5100.0,619078.43,0.0094,33000.0,430000.0,91000.0,618934.07,0.0139,5600.0,240000.0,3600.0,618933.33,0.014
12,0.00068,2e-10,43000.0,43314.45949142346,43314.28571428571,22000.0,10.006205914284536,0.0621,919.172,0.185185,T,0.0004,5100.0,20000.0,5600.0,43314.29,0.0004,2700.0,24000.0,3900.0,43315.38,0.0021,6200.0,36000.0,200000.0,43316.0,0.0036,18000.0,24000.0,330000.0,43309.09,0.0124,1200.0,39000.0,15000.0,43320.0,0.0128
13,0.0001,3e-11,300000.0,281447.73233982717,281454.54545454547,150000.0,10.040005761841964,0.4001,946.2485,0.622915,T,0.0024,24000.0,240000.0,330000.0,281454.55,0.0024,8200.0,270000.0,680000.0,281455.88,0.0029,7500.0,270000.0,510000.0,281470.59,0.0081,36000.0,39000.0,6800.0,281470.59,0.0081,75000.0,180000.0,510000.0,281470.59,0.0081
14,0.0001,2.7e-11,300000.0,312719.70259980793,312714.28571428574,150000.0,10.04466112321033,0.4466,946.6873,0.330958,T,0.0017,2000.0,300000.0,56000.0,312714.29,0.0017,7500.0,300000.0,430000.0,312732.56,0.0041,4700.0,120000.0,3000.0,312700.0,0.0063,9100.0,300000.0,750000.0,312740.0,0.0065,20000.0,240000.0,91000.0,312747.25,0.0088
15,4.4e-05,1.2e-11,680000.0,705500.6659587913,705500.0,360000.0,10.100287648564597,1.0029,949.3915,0.294043,T,0.0001,51000.0,510000.0,180000.0,705500.0,0.0001,22000.0,200000.0,9100.0,705516.48,0.0022,33000.0,620000.0,390000.0,705461.54,0.0055,6200.0,270000.0,3900.0,705430.77,0.0099,3000.0,680000.0,91000.0,705417.58,0.0118
