frequency_hz,cR_kalman_m_s,sigma_kalman_m_s,cR_theoretical_recommended_monotonic_m_s,cR_theoretical_two_reversal_m_s
8.000000000000028422e+00,8.674236320200110129e+01,2.501279638986144249e+00,8.747334330040638406e+01,8.647334330040638406e+01
8.571428571428603149e+00,8.671242796538450648e+01,2.356477646210615173e+00,8.747334330040638406e+01,8.647334330040638406e+01
9.142857142857176100e+00,8.668219745621854599e+01,2.217649215432525800e+00,8.747334330040638406e+01,8.647334330040638406e+01
9.714285714285749052e+00,8.665173706160221911e+01,2.085447528501661818e+00,8.747334330040638406e+01,8.647334330040638406e+01
1.028571428571432378e+01,8.662118657429313373e+01,1.960596462043146415e+00,8.747334330040638406e+01,8.647334330040638406e+01
1.085714285714289673e+01,8.659077399987592116e+01,1.843882996120753237e+00,8.747334330040638406e+01,8.647334330040638406e+01
1.142857142857146968e+01,8.656078559015115559e+01,1.736182065823689280e+00,8.747334330040638406e+01,8.647334330040638406e+01
1.200000000000004441e+01,8.653152184179209883e+01,1.638442410691568707e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.257142857142861736e+01,8.650322584481087063e+01,1.551672802181694788e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.314285714285719031e+01,8.647606657366564775e+01,1.476956016031655050e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.371428571428576504e+01,8.645016268873949628e+01,1.415421622377983191e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.428571428571433799e+01,8.642548240711128926e+01,1.368176433107155754e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.485714285714291094e+01,8.640187223685873619e+01,1.336213307861112476e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.542857142857148389e+01,8.637925732248838528e+01,1.320342016861597356e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.600000000000005684e+01,8.635757896414941115e+01,1.321121416557192063e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.657142857142863335e+01,8.633673232734402347e+01,1.338780608699686292e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.714285714285720630e+01,8.631654914248939292e+01,1.373203436141447353e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.771428571428577925e+01,8.629685367745611302e+01,1.423965325533918413e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.828571428571435220e+01,8.627759528616923035e+01,1.490369818799452961e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.885714285714292515e+01,8.625868965020785595e+01,1.571542769742324541e+00,8.647334330040638406e+01,8.647334330040638406e+01
1.942857142857149810e+01,8.623996925646817147e+01,1.666562222450979069e+00,8.647334330040638406e+01,8.647334330040638406e+01
2.000000000000007105e+01,8.622121179810746128e+01,1.774555022656671532e+00,8.647334330040638406e+01,8.647334330040638406e+01
2.057142857142864756e+01,8.620230645951944837e+01,1.894681524305245057e+00,8.647334330040638406e+01,8.647334330040638406e+01
2.114285714285722051e+01,8.618335825101597436e+01,2.026059734637915000e+00,8.647334330040638406e+01,8.647334330040638406e+01
2.171428571428579346e+01,8.685714285714317384e+01,2.202775035743125276e+00,8.647334330040638406e+01,8.647334330040638406e+01
