frequency_hz,velocity_m_s
8.000000000000028422e+00,8.294241817176643394e+01
8.285714285714316674e+00,8.308555338979019211e+01
8.571428571428603149e+00,8.322982876486284454e+01
8.857142857142889625e+00,8.337527012572854801e+01
9.142857142857176100e+00,8.352191555139454238e+01
9.428571428571462576e+00,8.366981337155309006e+01
9.714285714285749052e+00,8.381902341833848880e+01
1.000000000000003553e+01,8.396962216336541474e+01
1.028571428571432378e+01,8.412170021288004307e+01
1.057142857142861025e+01,8.427535715354234469e+01
1.085714285714289673e+01,8.443070435855298683e+01
1.114285714285718321e+01,8.458786438556951737e+01
1.142857142857146968e+01,8.474696945479735177e+01
1.171428571428575616e+01,8.490816347817640519e+01
1.200000000000004441e+01,8.507159990953684314e+01
1.228571428571433088e+01,8.523743627780037002e+01
1.257142857142861736e+01,8.540583310329269295e+01
1.285714285714290384e+01,8.557695628666655807e+01
1.314285714285719031e+01,8.575097757069018201e+01
1.342857142857147679e+01,8.592807211149927582e+01
1.371428571428576504e+01,8.610841181551295165e+01
1.400000000000005151e+01,8.629216109892171005e+01
1.428571428571433799e+01,8.647947522567240242e+01
1.457142857142862447e+01,8.667052354882217458e+01
1.485714285714291094e+01,8.686548605072583484e+01
1.514285714285719742e+01,8.706454750350260952e+01
1.542857142857148389e+01,8.726789649683060190e+01
1.571428571428577214e+01,8.747572431892452016e+01
1.600000000000005684e+01,8.768822240818435887e+01
1.628571428571434510e+01,8.790557809898335506e+01
1.657142857142863335e+01,8.812797810332462234e+01
1.685714285714291805e+01,8.835560953572819187e+01
1.714285714285720630e+01,8.858865908134059453e+01
1.742857142857149100e+01,8.882731308546144078e+01
1.771428571428577925e+01,8.907177027426074289e+01
1.800000000000006395e+01,8.932223217477059052e+01
1.828571428571435220e+01,8.957889034361102176e+01
1.857142857142864045e+01,8.984192173214550792e+01
1.885714285714292515e+01,9.011149927643702995e+01
1.914285714285721340e+01,9.038779015104968551e+01
1.942857142857149810e+01,9.067095943990963747e+01
1.971428571428578636e+01,9.096116993766192138e+01
2.000000000000007105e+01,9.125857901223822921e+01
2.028571428571435931e+01,9.156334301688383448e+01
2.057142857142864756e+01,9.187560165199252538e+01
2.085714285714293226e+01,9.219546335140083215e+01
2.114285714285722051e+01,9.252299765583650526e+01
2.142857142857150521e+01,9.285823653840377290e+01
2.171428571428579346e+01,9.320116988270871161e+01
2.200000000000008171e+01,9.355173643842904596e+01
2.228571428571436641e+01,9.390984262405268623e+01
2.257142857142865466e+01,9.427538521427818807e+01
2.285714285714293936e+01,9.464825944868994156e+01
2.314285714285722761e+01,9.502835819299862408e+01
2.342857142857151231e+01,9.541556962763789329e+01
2.371428571428580057e+01,9.580977536132768080e+01
2.400000000000008882e+01,9.621085099304552557e+01
2.428571428571437352e+01,9.661866667686308574e+01
2.457142857142866177e+01,9.703308804253184405e+01
2.485714285714294647e+01,9.745397771801030729e+01
2.514285714285723472e+01,9.788120019444760089e+01
2.542857142857151942e+01,9.831462471130693359e+01
2.571428571428580767e+01,9.875412433248757793e+01
2.600000000000009592e+01,9.919957207169881030e+01
2.628571428571438062e+01,9.965084079503625958e+01
2.657142857142866887e+01,1.001078063094718971e+02
2.685714285714295357e+01,1.005703529764179791e+02
2.714285714285724183e+01,1.010383735306891566e+02
2.742857142857153008e+01,1.015117683579955781e+02
2.771428571428581478e+01,1.019904453924053627e+02
2.800000000000010303e+01,1.024743213036880434e+02
2.828571428571438773e+01,1.029633234710574357e+02
2.857142857142867598e+01,1.034573932160132301e+02
2.885714285714296068e+01,1.039564881917512764e+02
2.914285714285724893e+01,1.044605845801926307e+02
2.942857142857153718e+01,1.049696794453428907e+02
2.971428571428582188e+01,1.054837932501982181e+02
