frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
1.142857142857147013e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.584527466772975013e-01
1.428571428571433710e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.651471470948064624e-01
1.714285714285720630e+00,3.500000000000000000e+02,0.000000000000000000e+00,2.303800543964503456e-01
2.000000000000007105e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.849377024151730164e-01
2.285714285714294025e+00,3.499999999999996021e+02,0.000000000000000000e+00,5.114903063629577806e-02
2.571428571428580945e+00,3.500000000000000000e+02,0.000000000000000000e+00,3.840132363606850729e-01
2.857142857142867420e+00,3.499999999999991473e+02,0.000000000000000000e+00,1.939218206119136256e-01
3.142857142857154340e+00,3.499999999998588009e+02,0.000000000000000000e+00,4.253909994676987605e-01
3.428571428571441260e+00,3.500000000000000000e+02,0.000000000000000000e+00,2.234076014858598358e-01
3.714285714285727735e+00,3.499999999929582941e+02,0.000000000000000000e+00,1.131174892598472148e-01
4.000000000000014211e+00,3.499999999779504378e+02,0.000000000000000000e+00,1.956022371574744345e-01
4.285714285714301575e+00,3.500000000000000000e+02,0.000000000000000000e+00,4.075365783427529753e-01
4.571428571428588050e+00,3.499999943966121236e+02,0.000000000000000000e+00,3.898358020208705921e-01
4.857142857142874526e+00,3.500000000000000000e+02,0.000000000000000000e+00,2.425278566310658523e-01
5.142857142857161890e+00,3.500000000000000000e+02,0.000000000000000000e+00,3.538386189196343068e-01
5.428571428571448365e+00,3.499971009345581479e+02,0.000000000000000000e+00,2.591109782294655495e-01
5.714285714285734841e+00,3.500000000000000000e+02,0.000000000000000000e+00,2.865006964633227682e-01
6.000000000000022204e+00,3.499839946889181874e+02,0.000000000000000000e+00,2.945698582911422392e-01
6.285714285714308680e+00,3.489834894522863351e+02,0.000000000000000000e+00,4.539970169640462072e-01
6.571428571428595156e+00,3.470191606869286716e+02,0.000000000000000000e+00,3.960394988075884859e-01
6.857142857142882519e+00,3.449970673046822185e+02,0.000000000000000000e+00,2.711573896616983337e-01
7.142857142857168995e+00,3.430001141887974541e+02,0.000000000000000000e+00,2.698201828810419256e-01
7.428571428571455471e+00,3.410029919787891686e+02,0.000000000000000000e+00,2.926395118225005310e-01
7.714285714285741946e+00,3.389756849483769088e+02,0.000000000000000000e+00,2.097371070224114953e-01
8.000000000000028422e+00,3.370429492003125347e+02,0.000000000000000000e+00,2.050106851792933838e-01
8.285714285714316674e+00,3.359757586428344212e+02,0.000000000000000000e+00,2.466799629340538924e-01
8.571428571428603149e+00,3.350028656884125553e+02,1.000000000000000000e+00,1.641611467662917045e-01
8.857142857142889625e+00,3.339971454164250417e+02,1.000000000000000000e+00,2.938695382528581090e-01
9.142857142857176100e+00,3.330251186697853996e+02,1.000000000000000000e+00,2.545324952969730270e-01
9.428571428571462576e+00,3.319553777218146706e+02,1.000000000000000000e+00,3.490172880898104180e-01
9.714285714285749052e+00,3.300339545709360891e+02,1.000000000000000000e+00,1.853231764521744707e-01
1.000000000000003553e+01,3.279233760518555414e+02,1.000000000000000000e+00,5.560738252508295315e-02
1.028571428571432378e+01,3.260899519247446392e+02,1.000000000000000000e+00,1.125109785962346842e-01
1.057142857142861025e+01,3.270178244297186438e+02,1.000000000000000000e+00,2.807531194027437227e-01
1.085714285714289673e+01,3.299362547211126184e+02,1.000000000000000000e+00,2.615624958504284558e-01
1.114285714285718321e+01,3.330069732600850330e+02,1.000000000000000000e+00,1.448668757165938459e-01
1.142857142857146968e+01,3.370233307452264171e+02,1.000000000000000000e+00,2.567081631527231012e-01
1.171428571428575616e+01,3.430033297964267831e+02,1.000000000000000000e+00,4.505939895900882286e-01
1.200000000000004441e+01,3.500000000000000000e+02,1.000000000000000000e+00,4.973070312702689844e-01
1.228571428571433088e+01,3.484307703449400151e+02,1.000000000000000000e+00,4.905139715829395231e-01
1.257142857142861736e+01,3.091419247515063944e+02,1.000000000000000000e+00,5.056045036301136664e-01
1.285714285714290384e+01,2.739274253599751887e+02,1.000000000000000000e+00,5.001857597155208168e-01
1.314285714285719031e+01,2.469498572949231914e+02,1.000000000000000000e+00,5.521505650290975398e-01
1.342857142857147679e+01,2.250344030401468842e+02,1.000000000000000000e+00,5.304687691661921223e-01
1.371428571428576504e+01,2.070059523820496281e+02,1.000000000000000000e+00,5.490108689254854513e-01
1.400000000000005151e+01,1.918801039694778581e+02,1.000000000000000000e+00,4.319259767178078024e-01
1.428571428571433799e+01,1.790280175563391651e+02,1.000000000000000000e+00,3.308933052913996531e-01
1.457142857142862447e+01,1.684459000986570061e+02,1.000000000000000000e+00,4.081473793256252258e-01
1.485714285714291094e+01,1.597660891943073409e+02,1.000000000000000000e+00,3.254543674033578138e-01
1.514285714285719742e+01,1.516995486870492869e+02,1.000000000000000000e+00,3.286187348165389710e-01
1.542857142857148389e+01,1.437625904372428636e+02,1.000000000000000000e+00,2.958796842313050623e-01
1.571428571428577214e+01,1.363492700092563439e+02,1.000000000000000000e+00,3.523522921333437918e-01
1.600000000000005684e+01,1.300382938456278339e+02,1.000000000000000000e+00,3.129218314090703723e-01
1.628571428571434510e+01,1.248737085584284898e+02,1.000000000000000000e+00,3.069610883874039353e-01
1.657142857142863335e+01,1.207805699145976206e+02,1.000000000000000000e+00,3.303504145336974562e-01
1.685714285714291805e+01,1.176576960691254072e+02,1.000000000000000000e+00,2.670893912018801331e-01
1.714285714285720630e+01,1.149527182087228852e+02,1.000000000000000000e+00,3.535130345397959895e-01
1.742857142857149100e+01,1.123436141628352374e+02,1.000000000000000000e+00,2.867189486487198846e-01
1.771428571428577925e+01,1.096822980659277249e+02,1.000000000000000000e+00,2.844753656928308838e-01
1.800000000000006395e+01,1.067653961317543860e+02,1.000000000000000000e+00,2.835535404108800450e-01
1.828571428571435220e+01,1.037500136840646263e+02,1.000000000000000000e+00,3.545478553625548424e-01
1.857142857142864045e+01,1.009616157389269944e+02,1.000000000000000000e+00,3.723718149686643386e-01
1.885714285714292515e+01,9.843513399821090104e+01,1.000000000000000000e+00,3.370679295217376414e-01
1.914285714285721340e+01,9.617786722590075499e+01,1.000000000000000000e+00,2.926552982020597660e-01
1.942857142857149810e+01,9.403369064267009492e+01,1.000000000000000000e+00,3.811790531551632055e-01
1.971428571428578636e+01,9.175151030648224548e+01,1.000000000000000000e+00,4.143403787946886574e-01
2.000000000000007105e+01,8.921872182896024128e+01,1.000000000000000000e+00,3.809141602090403977e-01
2.028571428571435931e+01,8.690556965394600297e+01,1.000000000000000000e+00,4.027567682041165997e-01
2.057142857142864756e+01,8.493842320435986437e+01,1.000000000000000000e+00,4.026826782613354139e-01
2.085714285714293226e+01,8.355670150984852285e+01,1.000000000000000000e+00,3.761913995322016535e-01
2.114285714285722051e+01,8.296261575176427527e+01,0.000000000000000000e+00,3.925174943797652416e-01
2.142857142857150521e+01,8.266276043902610127e+01,0.000000000000000000e+00,4.503793125156824173e-01
2.171428571428579346e+01,8.227305417435374579e+01,0.000000000000000000e+00,4.795310334730842339e-01
2.200000000000008171e+01,8.201114775514572841e+01,0.000000000000000000e+00,4.650297734759569201e-01
2.228571428571436641e+01,8.140788325285355143e+01,0.000000000000000000e+00,4.200524353624116025e-01
2.257142857142865466e+01,8.011739458901929822e+01,0.000000000000000000e+00,4.398041732632158585e-01
2.285714285714293936e+01,7.904683921120620482e+01,0.000000000000000000e+00,4.532561574263798132e-01
2.314285714285722761e+01,7.903405189832778888e+01,0.000000000000000000e+00,4.513824040934263926e-01
