frequency_hz,velocity_m_s
8.000000000000028422e+00,8.358713479746182884e+01
8.285714285714316674e+00,8.369539024880170075e+01
8.571428571428603149e+00,8.380562777215826031e+01
8.857142857142889625e+00,8.391788943915018706e+01
9.142857142857176100e+00,8.403222027805294658e+01
9.428571428571462576e+00,8.414867132842985598e+01
9.714285714285749052e+00,8.426730368326579423e+01
1.000000000000003553e+01,8.438819209516150011e+01
1.028571428571432378e+01,8.451142443924463521e+01
1.057142857142861025e+01,8.463710133368103072e+01
1.085714285714289673e+01,8.476533369153173680e+01
1.114285714285718321e+01,8.489624092257501786e+01
1.142857142857146968e+01,8.502995098198513801e+01
1.171428571428575616e+01,8.516660320294326425e+01
1.200000000000004441e+01,8.530634097829160112e+01
1.228571428571433088e+01,8.544930918120576280e+01
1.257142857142861736e+01,8.559565457930018795e+01
1.285714285714290384e+01,8.574552815593158073e+01
1.314285714285719031e+01,8.589908537865571247e+01
1.342857142857147679e+01,8.605648413009035380e+01
1.371428571428576504e+01,8.621787813851356930e+01
1.400000000000005151e+01,8.638341077517597455e+01
1.428571428571433799e+01,8.655321303686226031e+01
1.457142857142862447e+01,8.672742880827077272e+01
1.485714285714291094e+01,8.690621255700146719e+01
1.514285714285719742e+01,8.708972372033967702e+01
1.542857142857148389e+01,8.727812540199897740e+01
1.571428571428577214e+01,8.747158331900078565e+01
1.600000000000005684e+01,8.767026253494263699e+01
1.628571428571434510e+01,8.787432364062306078e+01
1.657142857142863335e+01,8.808392663188006111e+01
1.685714285714291805e+01,8.829923190455754423e+01
1.714285714285720630e+01,8.852040005502671249e+01
1.742857142857149100e+01,8.874759482070051320e+01
1.771428571428577925e+01,8.898099347374252943e+01
1.800000000000006395e+01,8.922077519974178017e+01
1.828571428571435220e+01,8.946710903075199894e+01
1.857142857142864045e+01,8.972014944138655324e+01
1.885714285714292515e+01,8.998004703406360250e+01
1.914285714285721340e+01,9.024694787132627027e+01
1.942857142857149810e+01,9.052099647258792459e+01
1.971428571428578636e+01,9.080233499558903532e+01
2.000000000000007105e+01,9.109110020403893770e+01
2.028571428571435931e+01,9.138742865470200627e+01
2.057142857142864756e+01,9.169144120915724727e+01
2.085714285714293226e+01,9.200322854121301930e+01
2.114285714285722051e+01,9.232284344831505507e+01
2.142857142857150521e+01,9.265030212517670805e+01
2.171428571428579346e+01,9.298557969055518413e+01
2.200000000000008171e+01,9.332860138675887640e+01
2.228571428571436641e+01,9.367926072743425436e+01
2.257142857142865466e+01,9.403744170699950189e+01
2.285714285714293936e+01,9.440302690455023082e+01
2.314285714285722761e+01,9.477589666033586013e+01
2.342857142857151231e+01,9.515592677442569425e+01
2.371428571428580057e+01,9.554298661491031908e+01
2.400000000000008882e+01,9.593693958614505846e+01
2.428571428571437352e+01,9.633764367214062929e+01
2.457142857142866177e+01,9.674495236519420871e+01
2.485714285714294647e+01,9.715871633302555210e+01
2.514285714285723472e+01,9.757878886121780226e+01
2.542857142857151942e+01,9.800502891511825965e+01
2.571428571428580767e+01,9.843730000348290332e+01
2.600000000000009592e+01,9.887546585593551640e+01
2.628571428571438062e+01,9.931939023782263121e+01
2.657142857142866887e+01,9.976894007006569609e+01
2.685714285714295357e+01,1.002239910839548571e+02
2.714285714285724183e+01,1.006844276584575368e+02
2.742857142857153008e+01,1.011501421159747878e+02
2.771428571428581478e+01,1.016210346428212858e+02
2.800000000000010303e+01,1.020970145072268167e+02
2.828571428571438773e+01,1.025780020687009682e+02
2.857142857142867598e+01,1.030639320528781724e+02
2.885714285714296068e+01,1.035547559802812856e+02
2.914285714285724893e+01,1.040504444031850539e+02
2.942857142857153718e+01,1.045509893007586726e+02
2.971428571428582188e+01,1.050564066396764957e+02
