frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
1.142857142857147013e+00,9.711099157210345822e+01,0.000000000000000000e+00,1.897992732445770714e-01
1.428571428571433710e+00,9.676518683048381320e+01,0.000000000000000000e+00,2.427594831570804856e-01
1.714285714285720630e+00,9.638531146218846857e+01,0.000000000000000000e+00,7.243257866527494371e-02
2.000000000000007105e+00,9.606748701567440207e+01,0.000000000000000000e+00,4.533132429116655260e-01
2.285714285714294025e+00,9.604844717643143781e+01,0.000000000000000000e+00,2.376193185100833050e-01
2.571428571428580945e+00,9.627260063845690752e+01,1.000000000000000000e+00,1.294820133156920627e-01
2.857142857142867420e+00,9.648235845832300583e+01,1.000000000000000000e+00,3.905437182949319519e-01
3.142857142857154340e+00,9.613784224895339037e+01,1.000000000000000000e+00,3.107429841161029604e-01
3.428571428571441260e+00,9.513516406308664841e+01,1.000000000000000000e+00,1.959359744000617465e-01
3.714285714285727735e+00,9.347570776157708394e+01,1.000000000000000000e+00,2.430754010355608008e-01
4.000000000000014211e+00,9.117864495558927729e+01,1.000000000000000000e+00,1.918190849648069018e-01
4.285714285714301575e+00,8.854813916983881938e+01,1.000000000000000000e+00,1.551331016987401168e-01
4.571428571428588050e+00,8.631177019917606685e+01,1.000000000000000000e+00,3.054526452724015684e-01
4.857142857142874526e+00,8.494707959518166263e+01,1.000000000000000000e+00,1.170688534989346719e-01
5.142857142857161890e+00,8.466311514343529154e+01,1.000000000000000000e+00,2.136267712662243135e-01
5.428571428571448365e+00,8.623909397705250512e+01,1.000000000000000000e+00,2.139749221395229051e-01
5.714285714285734841e+00,8.945454640512583921e+01,1.000000000000000000e+00,3.155524104000776431e-01
6.000000000000022204e+00,9.352570191008437916e+01,1.000000000000000000e+00,1.109330818816960385e-01
6.285714285714308680e+00,9.744053844476539439e+01,1.000000000000000000e+00,4.100118230388378748e-01
6.571428571428595156e+00,9.992156016912461780e+01,1.000000000000000000e+00,3.753926329017324148e-01
6.857142857142882519e+00,1.005063554565630426e+02,1.000000000000000000e+00,1.755331387876418181e-01
7.142857142857168995e+00,9.971200979373807627e+01,1.000000000000000000e+00,2.084394683803509341e-01
7.428571428571455471e+00,9.871536348918526471e+01,1.000000000000000000e+00,5.105441151320505577e-01
7.714285714285741946e+00,9.811620610992949310e+01,1.000000000000000000e+00,4.044175982722876816e-01
