frequency_hz,vs_app_min_m_s,vs_app_max_m_s,admissible_cells
1.142857142857147013e+00,nan,nan,0.000000000000000000e+00
1.428571428571433710e+00,nan,nan,0.000000000000000000e+00
1.714285714285720630e+00,nan,nan,0.000000000000000000e+00
2.000000000000007105e+00,nan,nan,0.000000000000000000e+00
2.285714285714294025e+00,nan,nan,0.000000000000000000e+00
2.571428571428580945e+00,nan,nan,0.000000000000000000e+00
2.857142857142867420e+00,nan,nan,0.000000000000000000e+00
3.142857142857154340e+00,nan,nan,0.000000000000000000e+00
3.428571428571441260e+00,nan,nan,0.000000000000000000e+00
3.714285714285727735e+00,nan,nan,0.000000000000000000e+00
4.000000000000014211e+00,nan,nan,0.000000000000000000e+00
4.285714285714301575e+00,nan,nan,0.000000000000000000e+00
4.571428571428588050e+00,nan,nan,0.000000000000000000e+00
4.857142857142874526e+00,nan,nan,0.000000000000000000e+00
5.142857142857161890e+00,nan,nan,0.000000000000000000e+00
5.428571428571448365e+00,nan,nan,0.000000000000000000e+00
5.714285714285734841e+00,nan,nan,0.000000000000000000e+00
6.000000000000022204e+00,nan,nan,0.000000000000000000e+00
6.285714285714308680e+00,nan,nan,0.000000000000000000e+00
6.571428571428595156e+00,nan,nan,0.000000000000000000e+00
6.857142857142882519e+00,nan,nan,0.000000000000000000e+00
7.142857142857168995e+00,2.597826086956521863e+02,3.021739130434782510e+02,4.000000000000000000e+01
7.428571428571455471e+00,2.260869565217391255e+02,2.684782608695651902e+02,4.000000000000000000e+01
7.714285714285741946e+00,2.010869565217391255e+02,2.423913043478260647e+02,3.900000000000000000e+01
8.000000000000028422e+00,1.771739130434782510e+02,2.195652173913043441e+02,4.000000000000000000e+01
8.285714285714316674e+00,1.619565217391304373e+02,2.043478260869565020e+02,4.000000000000000000e+01
8.571428571428603149e+00,1.510869565217391255e+02,1.847826086956521578e+02,3.200000000000000000e+01
8.857142857142889625e+00,1.380434782608695627e+02,1.804347826086956559e+02,4.000000000000000000e+01
9.142857142857176100e+00,1.250000000000000000e+02,1.673913043478260931e+02,4.000000000000000000e+01
9.428571428571462576e+00,1.195652173913043441e+02,1.619565217391304373e+02,4.000000000000000000e+01
9.714285714285749052e+00,1.130434782608695627e+02,1.554347826086956559e+02,4.000000000000000000e+01
